Net,ViewStream,SplitNat,date,key1,key2
ESPN,2200000.0,0.0,2012-08-30,brigham-young,washington-state
ESPN,4100000.0,0.0,2012-08-30,south-carolina,vanderbilt
ESPNU,1500000.0,0.0,2012-08-31,north-carolina-state,tennessee
ESPN,4200000.0,0.0,2012-08-31,boise-state,michigan-state
ESPN,2000000.0,0.0,2012-09-01,arkansas-state,oregon
ABC,3500000.0,1.0,2012-09-01,nebraska,southern-mississippi
ESPN,3500000.0,0.0,2012-09-01,ohio,penn-state
ESPN,2800000.0,0.0,2012-09-01,bowling-green-state,florida
ABC,7900000.0,0.0,2012-09-01,alabama,michigan
ESPN,3600000.0,0.0,2012-09-01,auburn,clemson
FOX,1800000.0,0.0,2012-09-01,hawaii,southern-california
ABC,3500000.0,1.0,2012-09-01,boston-college,miami-fl
ESPN,2400000.0,0.0,2012-09-02,kentucky,louisville
ESPN,4300000.0,0.0,2012-09-03,georgia-tech,virginia-tech
ESPN,2200000.0,0.0,2012-09-06,cincinnati,pittsburgh
ESPN2,1600000.0,0.0,2012-09-07,utah,utah-state
ESPN,2900000.0,0.0,2012-09-08,louisiana-state,washington
ESPN2,4100000.0,0.0,2012-09-08,georgia,missouri
ESPN,4500000.0,0.0,2012-09-08,florida,texas-am
ABC,4700000.0,1.0,2012-09-08,southern-california,syracuse
NBC,2800000.0,0.0,2012-09-08,notre-dame,purdue
ESPN,2500000.0,0.0,2012-09-08,auburn,mississippi-state
FOX,4300000.0,0.0,2012-09-08,nebraska,ucla
ABC,4700000.0,1.0,2012-09-08,air-force,michigan
ABC,2800000.0,0.0,2012-09-08,penn-state,virginia
ESPN2,2200000.0,0.0,2012-09-08,central-florida,ohio-state
ESPN,1300000.0,0.0,2012-09-13,rutgers,south-florida
ESPN,1400000.0,0.0,2012-09-14,nevada-las-vegas,washington-state
ABC,5000000.0,0.0,2012-09-15,michigan-state,notre-dame
ABC,2700000.0,1.0,2012-09-15,louisville,north-carolina
ABC,2700000.0,1.0,2012-09-15,navy,penn-state
ESPN,2400000.0,0.0,2012-09-15,mississippi,texas
FOX,3900000.0,0.0,2012-09-15,southern-california,stanford
ESPN,5100000.0,0.0,2012-09-15,florida,tennessee
ABC,3800000.0,0.0,2012-09-15,california,ohio-state
ESPN,2100000.0,0.0,2012-09-20,boise-state,brigham-young
ESPN,2200000.0,0.0,2012-09-21,baylor,louisiana-monroe
ABC,4800000.0,0.0,2012-09-22,clemson,florida-state
ESPN,3000000.0,0.0,2012-09-22,arizona,oregon
NBC,6400000.0,0.0,2012-09-22,michigan,notre-dame
ESPN,3800000.0,0.0,2012-09-22,auburn,louisiana-state
FOX,2800000.0,0.0,2012-09-22,kansas-state,oklahoma
ESPN,2100000.0,0.0,2012-09-27,stanford,washington
ESPN,1400000.0,0.0,2012-09-28,brigham-young,hawaii
FOX,3800000.0,0.0,2012-09-29,oklahoma-state,texas
ESPN2,891000.0,0.0,2012-09-29,boston-college,clemson
ESPN,3500000.0,0.0,2012-09-29,alabama,mississippi
ESPN,1700000.0,0.0,2012-09-29,illinois,penn-state
ESPN2,1900000.0,0.0,2012-09-29,kentucky,south-carolina
ESPN,1700000.0,0.0,2012-09-29,florida-state,south-florida
ABC,5000000.0,0.0,2012-09-29,michigan-state,ohio-state
ESPN2,1700000.0,0.0,2012-09-29,oregon,washington-state
ESPN2,758000.0,0.0,2012-09-29,iowa,minnesota
ABC,4300000.0,0.0,2012-09-29,nebraska,wisconsin
ESPN,2300000.0,0.0,2012-10-04,southern-california,utah
ESPN,1400000.0,0.0,2012-10-05,brigham-young,utah-state
ESPN,1400000.0,0.0,2012-10-05,pittsburgh,syracuse
ESPN,4000000.0,0.0,2012-10-06,georgia,south-carolina
ESPN2,553000.0,1.0,2012-10-06,oklahoma,texas-tech
ESPN,1400000.0,0.0,2012-10-06,clemson,georgia-tech
NBC,3700000.0,0.0,2012-10-06,miami-fl,notre-dame
